t_s,throttle,gear,wheel_angvel,rpm_norm_fixed,rpm_norm_buggy,ratio_fixed,ratio_buggy
0.000,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.050,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.100,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.150,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.200,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.250,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.300,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.350,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.400,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.450,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.500,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.550,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.600,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.650,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.700,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.750,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.800,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.850,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.900,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
0.950,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
1.000,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
1.050,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
1.100,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
1.150,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
1.200,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
1.250,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
1.300,0.00,1,0.0000,0.1500,0.1500,0.8145,0.8145
